City,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Country,Humidity,Date
Vaini,-21.2,-175.2,77.16,40,10.36,TO,78,1658705090
Mackay,-21.15,149.2,68.68,24,7.85,AU,86,1658705091
Sabang,5.8933,95.3214,80.6,100,6.24,ID,77,1658705070
Cape Town,-33.9258,18.4232,57.38,0,11.99,ZA,77,1658704802
Mar del Plata,-38.0023,-57.5575,52.09,100,9.22,AR,98,1658705091
Bambous Virieux,-20.3428,57.7575,61.05,40,6.91,MU,88,1658705091
Olafsvik,64.8945,-23.7142,52.77,98,5.79,IS,80,1658705092
Pevek,69.7008,170.3133,35.28,42,3.11,RU,90,1658705092
Rikitea,-23.1203,-134.9692,75.52,73,15.73,PF,80,1658705092
Punta Arenas,-53.15,-70.9167,37.51,40,14.97,CL,75,1658704939
Yellowknife,62.456,-114.3525,61.32,75,4.61,CA,94,1658705093
Esperance,-33.8667,121.9,47.88,47,12.39,AU,71,1658705093
Castro,-24.7911,-50.0119,60.04,99,2.8,BR,72,1658705093
Seymchan,62.8833,152.4333,62.74,69,3.06,RU,56,1658705094
Longyearbyen,78.2186,15.6401,46.24,75,9.22,SJ,87,1658705069
Bluff,-46.6,168.3333,38.8,72,9.22,NZ,80,1658705094
Lompoc,34.6391,-120.4579,85.01,0,11.99,US,69,1658705094
Tiksi,71.6872,128.8694,48.34,2,2.26,RU,74,1658705095
Atuona,-9.8,-139.0333,76.66,52,16.28,PF,66,1658705095
Sargatskoye,55.6101,73.4972,55.2,34,6.26,RU,89,1658705095
Arraial do Cabo,-22.9661,-42.0278,71.69,19,21.88,BR,86,1658704866
Marzuq,14.4,46.4667,79.86,59,4.85,YE,56,1658705095
Hong Kong,22.2855,114.1577,88.97,7,4.0,HK,82,1658705027
Carnarvon,-24.8667,113.6333,55.89,0,15.75,AU,53,1658705096
Avarua,-21.2078,-159.775,71.65,75,9.22,CK,68,1658705096
Araguaína,-7.1911,-48.2072,80.04,67,3.62,BR,33,1658705096
Albany,42.6001,-73.9662,89.78,66,9.57,US,63,1658705050
Verkhnevilyuysk,63.4453,120.3167,68.56,29,8.37,RU,67,1658705097
Upernavik,72.7868,-56.1549,41.61,100,6.73,GL,95,1658705097
Aasiaat,68.7098,-52.8699,37.26,99,6.67,GL,97,1658705097
Quatre Cocos,-20.2078,57.7625,60.91,6,7.74,MU,77,1658705098
